2025-03-17 at 14:14:52 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-52/
2025-03-17 at 14:14:52 | INFO | got TEXT / Black Horse / 52 / https://clownandco.org/show/the-black-horse/chapter-53-part-1/
2025-03-17 at 14:14:54 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-53-part-1/ / 200
2025-03-17 at 14:14:54 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-53-part-1/
2025-03-17 at 14:14:54 | INFO | got TEXT / Black Horse / 53 / https://clownandco.org/show/the-black-horse/chapter-53-part-2/
2025-03-17 at 14:14:55 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-53-part-2/ / 200
2025-03-17 at 14:14:55 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-53-part-2/
2025-03-17 at 14:14:55 | INFO | got TEXT / Black Horse / 54 / https://clownandco.org/show/the-black-horse/chapter-54-part-1/
2025-03-17 at 14:14:57 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-54-part-1/ / 200
2025-03-17 at 14:14:57 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-54-part-1/
2025-03-17 at 14:14:57 | INFO | got TEXT / Black Horse / 55 / https://clownandco.org/show/the-black-horse/chapter-54-part-2/
2025-03-17 at 14:14:58 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-54-part-2/ / 200
2025-03-17 at 14:14:58 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-54-part-2/
2025-03-17 at 14:14:58 | INFO | got TEXT / Black Horse / 56 / https://clownandco.org/show/the-black-horse/chapter-55/
2025-03-17 at 14:15:00 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-55/ / 200
2025-03-17 at 14:15:00 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-55/
2025-03-17 at 14:15:00 | INFO | got TEXT / Black Horse / 57 / https://clownandco.org/show/the-black-horse/chapter-56/
2025-03-17 at 14:15:02 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-56/ / 200
2025-03-17 at 14:15:02 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-56/
2025-03-17 at 14:15:02 | INFO | got TEXT / Black Horse / 58 / https://clownandco.org/show/the-black-horse/chapter-56-part-2/
2025-03-17 at 14:15:03 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-56-part-2/ / 200
2025-03-17 at 14:15:03 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-56-part-2/
2025-03-17 at 14:15:03 | INFO | got TEXT / Black Horse / 59 / https://clownandco.org/show/the-black-horse/chapter-57/
2025-03-17 at 14:15:05 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-57/ / 200
2025-03-17 at 14:15:05 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-57/
2025-03-17 at 14:15:05 | INFO | got TEXT / Black Horse / 60 / https://clownandco.org/show/the-black-horse/chapter-58-part-1/
2025-03-17 at 14:15:06 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-58-part-1/ / 200
2025-03-17 at 14:15:06 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-58-part-1/
2025-03-17 at 14:15:06 | INFO | got TEXT / Black Horse / 61 / https://clownandco.org/show/the-black-horse/chapter-58-part-2/
2025-03-17 at 14:15:08 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-58-part-2/ / 200
2025-03-17 at 14:15:08 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-58-part-2/
2025-03-17 at 14:15:08 | INFO | got TEXT / Black Horse / 62 / https://clownandco.org/show/the-black-horse/chapter-58-part-3/
2025-03-17 at 14:15:09 | INFO | Black Horse / https://clownandco.org/show/the-black-horse/chapter-58-part-3/ / 200
2025-03-17 at 14:15:09 | INFO | got PAGE / Black Horse / https://clownandco.org/show/the-black-horse/chapter-58-part-3/
2025-03-17 at 14:15:09 | INFO | got TEXT / Black Horse / 63 / https://clownandco.org/show/the-black-horse/chapter-58-part-4/
